datetime,biomass_mwh,hydro_mwh,wind_offshore_mwh,wind_onshore_mwh,solar_mwh,lignite_mwh,hard_coal_mwh,gas_gen_mwh,wind_total_mwh,renewable_ratio,gas_share_thermal
2022-01-01 00:00:00,4232.5,1465.75,5975.5,25570.25,2.0,3562.0,2039.25,3491.5,31545.75,0.8038,0.384
2022-01-01 01:00:00,4220.0,1518.0,5775.25,24318.25,2.0,3546.75,2049.75,3406.75,30093.5,0.7992,0.3784
2022-01-01 02:00:00,4222.5,1468.0,5548.0,23169.5,2.0,3495.0,2033.25,3401.5,28717.5,0.794,0.3809
2022-01-01 03:00:00,4227.5,1452.75,5382.75,22092.5,2.0,3504.75,2023.75,3406.75,27475.25,0.7877,0.3813
2022-01-01 04:00:00,4231.5,1498.0,5586.5,20607.0,2.0,3537.5,2013.25,3421.5,26193.5,0.7806,0.3813
2022-01-01 05:00:00,4244.25,1478.5,4531.25,19575.25,2.0,3767.0,2014.0,3412.5,24106.5,0.7644,0.3712
2022-01-01 06:00:00,4293.0,1439.5,4514.75,19274.5,2.0,3876.25,2031.25,3409.5,23789.25,0.7601,0.3659
2022-01-01 07:00:00,4367.25,1441.0,4850.0,18045.5,2.0,3869.5,2361.5,3431.75,22895.5,0.7482,0.3552
2022-01-01 08:00:00,4487.75,1459.75,4172.0,16691.75,224.0,3981.75,2448.75,3568.0,20863.75,0.73,0.3569
2022-01-01 09:00:00,4529.75,1457.75,4214.0,15714.75,1804.0,4209.5,2461.5,3489.25,19928.75,0.7318,0.3434
2022-01-01 10:00:00,4537.5,1458.25,4051.0,14022.5,4115.0,4374.25,2444.0,3610.75,18073.5,0.7299,0.3462
2022-01-01 11:00:00,4503.75,1471.75,4265.0,11941.25,6355.0,4423.75,2527.0,3624.25,16206.25,0.7296,0.3427
2022-01-01 12:00:00,4449.25,1453.0,4995.0,10392.75,7443.0,4503.5,2722.5,3617.5,15387.75,0.726,0.3336
2022-01-01 13:00:00,4399.0,1464.25,5527.5,8996.25,6584.25,4239.75,2748.75,3508.25,14523.75,0.7198,0.3342
2022-01-01 14:00:00,4414.5,1499.75,5889.25,8393.5,4392.5,4907.25,2930.0,3602.0,14282.75,0.6825,0.3149
2022-01-01 15:00:00,4473.75,1500.25,6038.25,8809.0,1668.75,6367.5,3328.25,3616.75,14847.25,0.6282,0.2717
2022-01-01 16:00:00,4584.5,1439.75,6106.5,10675.25,133.25,7041.5,3810.5,3551.25,16781.75,0.6143,0.2466
2022-01-01 17:00:00,4628.5,1440.0,6080.0,12983.75,2.25,7377.75,4024.25,3513.0,19063.75,0.6276,0.2355
2022-01-01 18:00:00,4659.25,1433.5,6048.5,15087.75,2.0,7576.0,4177.25,3513.0,21136.25,0.6408,0.2301
2022-01-01 19:00:00,4607.75,1427.0,6086.0,17047.0,2.0,7200.5,3973.25,3565.25,23133.0,0.6643,0.2419
2022-01-01 20:00:00,4491.25,1440.0,6232.5,18047.25,2.0,6287.0,3575.5,3670.0,24279.75,0.6907,0.2712
2022-01-01 21:00:00,4392.5,1439.0,6473.25,18560.0,2.0,5657.25,3131.75,3582.5,25033.25,0.7139,0.2896
2022-01-01 22:00:00,4337.75,1502.0,6743.25,18650.25,2.0,5691.0,2623.75,3558.5,25393.5,0.7246,0.2997
2022-01-01 23:00:00,4287.25,1435.0,6932.75,18907.75,2.0,4544.5,2437.5,3492.0,25840.5,0.7508,0.3334
2022-01-02 00:00:00,4223.25,1418.75,6943.5,18965.0,2.0,3648.0,2268.0,3480.5,25908.5,0.7705,0.3704
2022-01-02 01:00:00,4227.0,1448.5,6835.0,18795.0,2.0,3666.25,2211.5,3443.5,25630.0,0.7706,0.3694
2022-01-02 02:00:00,4234.5,1497.25,6783.75,18018.25,2.0,3520.5,2192.25,3439.75,24802.0,0.7694,0.3758
2022-01-02 03:00:00,4234.25,1504.75,6274.25,18982.25,2.0,3457.5,2195.0,3446.0,25256.5,0.7731,0.3787
2022-01-02 04:00:00,4247.25,1507.25,6037.25,18102.0,2.0,3459.0,2215.5,3406.5,24139.25,0.767,0.3751
2022-01-02 05:00:00,4259.0,1500.5,6314.0,18176.5,2.0,3468.25,2207.0,3438.0,24490.5,0.7685,0.3773
2022-01-02 06:00:00,4315.25,1429.5,6000.5,19031.0,2.0,3451.25,2225.75,3472.0,25031.5,0.7709,0.3795
2022-01-02 07:00:00,4384.5,1395.25,5377.0,20611.25,2.5,3469.25,2234.25,3514.25,25988.25,0.7751,0.3812
2022-01-02 08:00:00,4477.25,1402.75,5620.75,22654.5,337.0,3616.0,2071.75,3596.25,28275.25,0.7879,0.3874
2022-01-02 09:00:00,4533.75,1402.0,5098.5,23604.0,1959.5,3610.5,2116.5,3526.0,28702.5,0.7982,0.3811
2022-01-02 10:00:00,4556.25,1413.25,5430.5,24892.0,3959.25,3578.75,2189.0,3510.0,30322.5,0.8127,0.3783
2022-01-02 11:00:00,4530.5,1408.25,6116.25,26543.25,5160.75,3479.5,2202.0,3458.5,32659.5,0.8272,0.3784
2022-01-02 12:00:00,4421.25,1438.75,6329.0,28824.25,5033.5,3524.75,2222.25,3492.5,35153.25,0.8329,0.378
2022-01-02 13:00:00,4370.5,1405.0,5981.25,30427.5,3810.0,3494.25,2217.0,3512.75,36408.75,0.833,0.3808
2022-01-02 14:00:00,4354.75,1412.25,5680.5,32024.0,2601.0,3502.5,2189.0,3464.5,37704.5,0.8342,0.3784
2022-01-02 15:00:00,4377.25,1411.0,5827.5,33516.75,1024.5,3485.25,2283.5,3445.5,39344.25,0.8336,0.3739
2022-01-02 16:00:00,4461.75,1462.0,6303.0,34516.0,55.25,3493.75,2347.5,3424.25,40819.0,0.8347,0.3696
2022-01-02 17:00:00,4549.0,1392.5,6361.25,35780.5,3.0,3664.5,2432.25,3379.0,42141.75,0.8354,0.3566
2022-01-02 18:00:00,4592.75,1441.75,6539.25,36095.75,2.0,3665.75,2402.0,3418.25,42635.0,0.8369,0.3603
2022-01-02 19:00:00,4586.75,1497.5,6732.75,34832.0,1.75,3582.0,2385.0,3396.75,41564.75,0.8358,0.3628
2022-01-02 20:00:00,4540.75,1454.5,6952.75,33834.0,2.0,3597.75,2325.75,3424.25,40786.75,0.8335,0.3663
2022-01-02 21:00:00,4438.5,1407.75,6680.5,32480.5,2.0,3512.25,2219.75,3352.5,39161.0,0.8321,0.369
2022-01-02 22:00:00,4369.75,1409.25,6037.0,30518.5,2.0,3511.0,2184.0,3436.0,36555.5,0.8226,0.3763
2022-01-02 23:00:00,4293.5,1379.0,5969.0,29805.5,2.0,3524.5,2143.0,3299.25,35774.5,0.8221,0.3679
2022-01-03 00:00:00,4203.5,1405.25,6254.0,28591.25,2.0,3676.5,2093.75,3478.5,34845.25,0.8139,0.3761
2022-01-03 01:00:00,4184.5,1445.0,6047.75,26610.0,2.0,3977.75,2059.0,3371.25,32657.75,0.8028,0.3583
2022-01-03 02:00:00,4175.5,1485.75,5705.0,26360.5,2.0,3858.5,2024.5,3421.25,32065.5,0.8022,0.3677
2022-01-03 03:00:00,4150.0,1456.5,5713.5,25569.25,2.0,3870.75,2028.25,3448.75,31282.75,0.7978,0.3689
2022-01-03 04:00:00,4180.25,1493.5,5781.0,27108.0,2.0,4013.75,2051.5,3424.25,32889.0,0.8025,0.3608
2022-01-03 05:00:00,4239.0,1439.75,6091.75,30921.25,1.25,4303.75,2220.0,3504.5,37013.0,0.8098,0.3495
2022-01-03 06:00:00,4285.25,1426.5,6177.25,36087.0,1.25,5047.0,2576.75,3906.5,42264.25,0.8062,0.3388
2022-01-03 07:00:00,4446.75,1469.25,6058.0,37615.75,2.0,5755.75,3092.75,4751.75,43673.75,0.7848,0.3494
2022-01-03 08:00:00,4565.5,1453.5,6060.75,36623.25,148.0,7212.0,3505.25,5326.5,42684.0,0.7528,0.332
2022-01-03 09:00:00,4569.0,1427.5,6024.0,35976.5,1449.0,8444.5,3557.5,5389.0,42000.5,0.7398,0.3099
2022-01-03 10:00:00,4510.75,1413.75,5656.25,36100.75,3310.75,8962.25,3581.5,5559.25,41757.0,0.738,0.3071
2022-01-03 11:00:00,4467.0,1410.5,5643.5,36778.25,4541.0,8986.75,3578.0,5432.75,42421.75,0.7459,0.3019
2022-01-03 12:00:00,4412.5,1425.5,5631.0,36692.5,4773.0,9073.25,3433.75,5337.25,42323.5,0.7479,0.2991
2022-01-03 13:00:00,4405.75,1388.5,5638.25,35980.5,3789.5,9301.25,3332.25,5450.75,41618.75,0.739,0.3014
