,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
price_eur_mwh,39060.0,121.66560573476701,102.06578854674176,-500.0,-12.17,0.04,73.1,100.0,138.5925,334.0904999999999,523.4944999999983,936.28
biomass_mwh,39060.0,4192.200034306195,339.3155826066293,3085.63,3407.4506,3615.75,3956.7,4195.75,4433.555,4748.691999999999,4907.0,5271.25
hydro_mwh,39060.0,1676.4907421915002,391.89483060953387,841.0,982.5177,1107.4875,1367.75,1644.75,1954.0,2352.762499999999,2676.102499999999,3078.25
wind_offshore_mwh,39060.0,2926.0391251920123,1995.6426560156424,0.0,30.709000000000003,203.0,1132.1875,2675.875,4586.3125,6266.540999999998,7292.042499999995,8448.34
wind_onshore_mwh,39060.0,12563.095665386585,9819.865726342749,46.5,710.5,1513.475,4740.75,9879.375,18219.8125,33108.51399999999,40702.6025,48499.5
solar_mwh,39060.0,7306.041447260624,11212.834688339333,0.0,0.0,2.5,5.75,233.625,11726.75,32465.124999999945,42151.93249999995,55982.79
lignite_mwh,39060.0,8966.704747311827,3529.6184727022146,1357.37,2476.4877,3291.5,5977.495,9229.0,11873.0625,14286.75,15661.557499999997,17173.25
hard_coal_mwh,39060.0,4444.454095494111,3137.9762198297185,135.19,323.545,731.749,2011.1875,3733.145,6106.5,11180.5,13915.602499999999,15845.0
gas_gen_mwh,39060.0,6275.655812852023,3666.453907933406,1009.68,1578.0,2009.75,3412.8325,5363.5,8300.75,14005.774999999998,16986.709999999977,20146.5
wind_total_mwh,39060.0,15489.134790578599,11144.279189542527,46.5,1074.6139,2162.4875,6289.25,12735.5,22660.555,37762.81249999999,45286.09499999999,53227.88
renewable_ratio,39060.0,0.5757374884792626,0.1887652695025449,0.1576,0.203359,0.2632,0.4266,0.5813,0.7308250000000001,0.8683,0.9116409999999996,0.9584
gas_share_thermal,39060.0,0.3200409011776754,0.09855642308134499,0.067,0.0965,0.143195,0.255075,0.3247,0.3916,0.4723,0.5193,0.6272
load_mwh,39060.0,53531.88536661547,9335.70593242618,30902.75,35576.305,39136.9385,45861.1625,53576.375,60473.95,69172.34150000001,73463.80789999999,78680.5
temperature_c,39067.0,10.723924795863518,7.694675867098924,-9.93,-4.28,-1.12,4.7,10.32,16.5,23.75,27.8,36.78
wind_speed_ms,39067.0,11.597867765633397,4.9053150173736295,2.0,4.15,5.57,8.1,10.55,14.0,21.4,26.85,38.88
ttf_eur_mwh,39072.0,59.25679780068113,46.862219827345946,22.93400001525879,24.68099975585937,27.266000747680664,32.766998291015625,40.10849952697754,55.72299957275391,173.83399963378906,227.2010040283203,339.1960144042969
