datetime,price_eur_mwh,biomass_mwh,hydro_mwh,wind_offshore_mwh,wind_onshore_mwh,solar_mwh,lignite_mwh,hard_coal_mwh,gas_gen_mwh,wind_total_mwh,renewable_ratio,gas_share_thermal,load_mwh,temperature_c,wind_speed_ms,ttf_eur_mwh,price_outlier_flag,residual_load
2022-01-01 00:00:00,50.05,4232.5,1465.75,5975.5,25570.25,2.0,3562.0,2039.25,3491.5,31545.75,0.8038,0.384,43915.5,10.07,19.92,70.34300231933594,0,12367.75
2022-01-01 01:00:00,41.33,4220.0,1518.0,5775.25,24318.25,2.0,3546.75,2049.75,3406.75,30093.5,0.7992,0.3784,41535.75,10.55,17.88,70.34300231933594,0,11440.25
2022-01-01 02:00:00,43.22,4222.5,1468.0,5548.0,23169.5,2.0,3495.0,2033.25,3401.5,28717.5,0.794,0.3809,40480.75,10.58,17.8,70.34300231933594,0,11761.25
2022-01-01 03:00:00,45.46,4227.5,1452.75,5382.75,22092.5,2.0,3504.75,2023.75,3406.75,27475.25,0.7877,0.3813,39564.0,10.28,17.45,70.34300231933594,0,12086.75
2022-01-01 04:00:00,37.67,4231.5,1498.0,5586.5,20607.0,2.0,3537.5,2013.25,3421.5,26193.5,0.7806,0.3813,39338.25,9.88,17.38,70.34300231933594,0,13142.75
2022-01-01 05:00:00,39.7,4244.25,1478.5,4531.25,19575.25,2.0,3767.0,2014.0,3412.5,24106.5,0.7644,0.3712,38826.5,9.85,16.77,70.34300231933594,0,14718.0
2022-01-01 06:00:00,40.59,4293.0,1439.5,4514.75,19274.5,2.0,3876.25,2031.25,3409.5,23789.25,0.7601,0.3659,38413.0,9.65,15.9,70.34300231933594,0,14621.75
2022-01-01 07:00:00,43.26,4367.25,1441.0,4850.0,18045.5,2.0,3869.5,2361.5,3431.75,22895.5,0.7482,0.3552,39076.25,9.43,15.3,70.34300231933594,0,16178.75
2022-01-01 08:00:00,49.66,4487.75,1459.75,4172.0,16691.75,224.0,3981.75,2448.75,3568.0,20863.75,0.73,0.3569,40299.25,9.02,15.65,70.34300231933594,0,19211.5
2022-01-01 09:00:00,70.05,4529.75,1457.75,4214.0,15714.75,1804.0,4209.5,2461.5,3489.25,19928.75,0.7318,0.3434,42510.0,8.92,15.52,70.34300231933594,0,20777.25
2022-01-01 10:00:00,76.79,4537.5,1458.25,4051.0,14022.5,4115.0,4374.25,2444.0,3610.75,18073.5,0.7299,0.3462,44382.0,9.55,15.02,70.34300231933594,0,22193.5
2022-01-01 11:00:00,84.1,4503.75,1471.75,4265.0,11941.25,6355.0,4423.75,2527.0,3624.25,16206.25,0.7296,0.3427,46732.0,10.42,13.52,70.34300231933594,0,24170.75
2022-01-01 12:00:00,94.74,4449.25,1453.0,4995.0,10392.75,7443.0,4503.5,2722.5,3617.5,15387.75,0.726,0.3336,47313.75,11.08,12.8,70.34300231933594,0,24483.0
2022-01-01 13:00:00,96.8,4399.0,1464.25,5527.5,8996.25,6584.25,4239.75,2748.75,3508.25,14523.75,0.7198,0.3342,46391.25,11.65,10.35,70.34300231933594,0,25283.25
2022-01-01 14:00:00,97.17,4414.5,1499.75,5889.25,8393.5,4392.5,4907.25,2930.0,3602.0,14282.75,0.6825,0.3149,45728.5,11.95,10.0,70.34300231933594,0,27053.25
2022-01-01 15:00:00,101.0,4473.75,1500.25,6038.25,8809.0,1668.75,6367.5,3328.25,3616.75,14847.25,0.6282,0.2717,45683.0,11.85,9.12,70.34300231933594,0,29167.0
2022-01-01 16:00:00,126.6,4584.5,1439.75,6106.5,10675.25,133.25,7041.5,3810.5,3551.25,16781.75,0.6143,0.2466,47903.75,10.9,8.98,70.34300231933594,0,30988.75
2022-01-01 17:00:00,149.97,4628.5,1440.0,6080.0,12983.75,2.25,7377.75,4024.25,3513.0,19063.75,0.6276,0.2355,51620.5,10.12,9.32,70.34300231933594,0,32554.5
2022-01-01 18:00:00,146.33,4659.25,1433.5,6048.5,15087.75,2.0,7576.0,4177.25,3513.0,21136.25,0.6408,0.2301,52595.25,9.43,9.75,70.34300231933594,0,31457.0
2022-01-01 19:00:00,140.28,4607.75,1427.0,6086.0,17047.0,2.0,7200.5,3973.25,3565.25,23133.0,0.6643,0.2419,51620.0,8.48,10.25,70.34300231933594,0,28485.0
2022-01-01 20:00:00,121.88,4491.25,1440.0,6232.5,18047.25,2.0,6287.0,3575.5,3670.0,24279.75,0.6907,0.2712,49682.75,7.93,9.98,70.34300231933594,0,25401.0
2022-01-01 21:00:00,102.61,4392.5,1439.0,6473.25,18560.0,2.0,5657.25,3131.75,3582.5,25033.25,0.7139,0.2896,48052.0,7.4,10.35,70.34300231933594,0,23016.75
2022-01-01 22:00:00,97.46,4337.75,1502.0,6743.25,18650.25,2.0,5691.0,2623.75,3558.5,25393.5,0.7246,0.2997,47476.75,7.18,11.45,70.34300231933594,0,22081.25
2022-01-01 23:00:00,85.16,4287.25,1435.0,6932.75,18907.75,2.0,4544.5,2437.5,3492.0,25840.5,0.7508,0.3334,44871.75,7.08,11.55,70.34300231933594,0,19029.25
2022-01-02 00:00:00,57.08,4223.25,1418.75,6943.5,18965.0,2.0,3648.0,2268.0,3480.5,25908.5,0.7705,0.3704,42672.0,6.8,11.73,70.34300231933594,0,16761.5
2022-01-02 01:00:00,52.59,4227.0,1448.5,6835.0,18795.0,2.0,3666.25,2211.5,3443.5,25630.0,0.7706,0.3694,41483.0,7.4,11.8,70.34300231933594,0,15851.0
2022-01-02 02:00:00,48.97,4234.5,1497.25,6783.75,18018.25,2.0,3520.5,2192.25,3439.75,24802.0,0.7694,0.3758,40765.5,6.95,12.35,70.34300231933594,0,15961.5
2022-01-02 03:00:00,34.94,4234.25,1504.75,6274.25,18982.25,2.0,3457.5,2195.0,3446.0,25256.5,0.7731,0.3787,40536.5,6.82,13.45,70.34300231933594,0,15278.0
2022-01-02 04:00:00,29.56,4247.25,1507.25,6037.25,18102.0,2.0,3459.0,2215.5,3406.5,24139.25,0.767,0.3751,40713.0,6.78,13.48,70.34300231933594,0,16571.75
2022-01-02 05:00:00,33.97,4259.0,1500.5,6314.0,18176.5,2.0,3468.25,2207.0,3438.0,24490.5,0.7685,0.3773,40746.5,6.7,13.15,70.34300231933594,0,16254.0
2022-01-02 06:00:00,34.52,4315.25,1429.5,6000.5,19031.0,2.0,3451.25,2225.75,3472.0,25031.5,0.7709,0.3795,40397.5,6.85,13.45,70.34300231933594,0,15364.0
2022-01-02 07:00:00,41.8,4384.5,1395.25,5377.0,20611.25,2.5,3469.25,2234.25,3514.25,25988.25,0.7751,0.3812,42253.5,6.95,12.85,70.34300231933594,0,16262.75
2022-01-02 08:00:00,48.95,4477.25,1402.75,5620.75,22654.5,337.0,3616.0,2071.75,3596.25,28275.25,0.7879,0.3874,45417.75,7.07,12.2,70.34300231933594,0,16805.5
