Start date;End date;Germany/Luxembourg [€/MWh] Calculated resolutions;∅ DE/LU neighbours [€/MWh] Calculated resolutions;Belgium [€/MWh] Calculated resolutions;Denmark 1 [€/MWh] Calculated resolutions;Denmark 2 [€/MWh] Calculated resolutions;France [€/MWh] Calculated resolutions;Netherlands [€/MWh] Calculated resolutions;Norway 2 [€/MWh] Calculated resolutions;Austria [€/MWh] Calculated resolutions;Poland [€/MWh] Calculated resolutions;Sweden 4 [€/MWh] Calculated resolutions;Switzerland [€/MWh] Calculated resolutions;Czech Republic [€/MWh] Calculated resolutions;DE/AT/LU [€/MWh] Calculated resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Calculated resolutions;Hungary [€/MWh] Calculated resolutions
Jan 1, 2022 12:00 AM;Jan 1, 2022 1:00 AM;50.05;78.44;82.02;50.05;46.60;89.06;124.70;132.89;61.84;59.03;46.60;119.97;50.05;-;170.28;61.84;61.84
Jan 1, 2022 1:00 AM;Jan 1, 2022 2:00 AM;41.33;69.75;67.07;41.33;41.33;78.48;124.70;129.30;51.44;49.37;41.33;101.54;41.33;-;155.72;51.44;41.33
Jan 1, 2022 2:00 AM;Jan 1, 2022 3:00 AM;43.22;68.04;75.11;43.22;42.18;85.16;134.00;132.08;55.91;43.22;42.18;52.13;43.22;-;147.09;55.91;43.22
Jan 1, 2022 3:00 AM;Jan 1, 2022 4:00 AM;45.46;51.27;50.91;45.46;44.37;50.00;58.80;111.44;46.94;45.46;44.37;20.78;45.46;-;91.00;46.94;45.46
Jan 1, 2022 4:00 AM;Jan 1, 2022 5:00 AM;37.67;42.46;37.67;37.67;37.67;37.67;37.67;112.35;37.67;37.67;37.67;15.66;37.67;-;104.00;37.67;37.67
Jan 1, 2022 5:00 AM;Jan 1, 2022 6:00 AM;39.70;44.79;39.70;39.70;39.70;39.70;39.70;113.90;39.70;39.70;39.70;21.47;39.70;-;140.60;39.70;39.70
Jan 1, 2022 6:00 AM;Jan 1, 2022 7:00 AM;40.59;47.04;40.59;40.59;40.59;40.59;40.59;122.25;40.59;40.59;40.59;29.89;40.59;-;147.09;40.59;40.59
Jan 1, 2022 7:00 AM;Jan 1, 2022 8:00 AM;43.26;54.84;43.26;43.26;43.26;43.26;43.26;118.58;43.26;43.26;43.26;95.33;43.26;-;99.99;43.26;43.26
Jan 1, 2022 8:00 AM;Jan 1, 2022 9:00 AM;49.66;60.07;49.66;49.66;49.66;49.66;49.66;118.47;49.66;49.66;49.66;95.36;49.66;-;67.99;49.66;49.66
Jan 1, 2022 9:00 AM;Jan 1, 2022 10:00 AM;70.05;76.70;70.05;70.05;70.05;70.05;70.05;117.86;70.05;70.05;70.05;95.43;70.05;-;95.00;70.05;70.05
Jan 1, 2022 10:00 AM;Jan 1, 2022 11:00 AM;76.79;79.96;76.79;76.79;76.79;76.79;76.79;120.03;76.79;76.79;76.79;68.42;76.79;-;135.80;76.79;76.79
Jan 1, 2022 11:00 AM;Jan 1, 2022 12:00 PM;84.10;84.99;84.10;84.10;84.10;84.10;84.10;117.07;84.10;84.10;84.10;60.88;84.10;-;150.70;84.10;84.10
Jan 1, 2022 12:00 PM;Jan 1, 2022 1:00 PM;94.74;94.60;94.74;94.74;94.74;94.74;94.74;117.17;94.74;94.74;94.74;70.72;94.74;-;155.72;94.74;94.74
Jan 1, 2022 1:00 PM;Jan 1, 2022 2:00 PM;96.80;96.93;96.80;96.80;96.80;96.80;96.80;120.08;96.80;96.80;96.80;74.99;96.80;-;147.09;96.80;96.80
Jan 1, 2022 2:00 PM;Jan 1, 2022 3:00 PM;97.17;98.78;97.17;97.17;97.17;97.17;97.17;124.54;97.17;97.17;97.17;87.46;97.17;-;100.00;97.17;97.17
Jan 1, 2022 3:00 PM;Jan 1, 2022 4:00 PM;101.00;102.44;95.21;101.27;101.27;98.52;101.27;124.89;101.00;101.00;101.27;100.16;101.00;-;155.00;101.00;101.00
Jan 1, 2022 4:00 PM;Jan 1, 2022 5:00 PM;126.60;124.37;111.66;126.60;126.60;114.50;126.60;135.59;126.60;126.60;126.60;120.09;126.60;-;169.78;126.60;126.60
Jan 1, 2022 5:00 PM;Jan 1, 2022 6:00 PM;149.97;149.87;149.97;149.97;149.97;149.97;149.97;149.97;149.97;149.97;149.97;148.89;149.97;-;203.10;149.97;149.97
Jan 1, 2022 6:00 PM;Jan 1, 2022 7:00 PM;146.33;146.36;146.33;146.33;146.33;146.33;146.33;150.71;146.33;146.33;146.33;142.30;146.33;-;205.83;146.33;146.33
Jan 1, 2022 7:00 PM;Jan 1, 2022 8:00 PM;140.28;140.37;140.28;140.28;140.28;140.28;140.28;143.81;140.28;140.28;140.28;137.76;140.28;-;214.66;140.28;140.28
Jan 1, 2022 8:00 PM;Jan 1, 2022 9:00 PM;121.88;124.17;121.88;121.88;121.88;121.88;121.88;140.36;121.88;121.88;121.88;128.55;121.88;-;214.66;121.88;121.88
Jan 1, 2022 9:00 PM;Jan 1, 2022 10:00 PM;102.61;109.45;102.61;102.61;102.61;102.61;102.61;139.85;102.61;102.61;102.61;140.62;102.61;-;203.00;102.61;102.61
Jan 1, 2022 10:00 PM;Jan 1, 2022 11:00 PM;97.46;104.52;97.46;95.12;95.12;97.46;97.46;135.08;97.46;97.46;95.12;144.49;97.46;-;180.00;97.46;97.46
Jan 1, 2022 11:00 PM;Jan 2, 2022 12:00 AM;85.16;93.23;85.16;83.11;83.11;85.16;85.16;123.42;85.16;85.16;83.11;141.77;85.16;-;162.44;85.16;85.16
Jan 2, 2022 12:00 AM;Jan 2, 2022 1:00 AM;57.08;63.99;57.08;57.08;34.73;57.08;57.08;113.56;57.08;89.89;34.73;88.51;57.08;-;148.08;57.08;57.08
Jan 2, 2022 1:00 AM;Jan 2, 2022 2:00 AM;52.59;59.20;52.59;52.59;34.39;52.59;52.59;111.66;52.59;80.15;34.39;75.04;52.59;-;142.85;52.59;52.59
Jan 2, 2022 2:00 AM;Jan 2, 2022 3:00 AM;48.97;52.47;48.97;48.97;34.36;48.97;48.97;106.53;48.97;62.75;34.36;45.38;48.97;-;140.60;48.97;48.97
Jan 2, 2022 3:00 AM;Jan 2, 2022 4:00 AM;34.94;41.90;34.94;34.94;34.10;34.94;34.94;104.50;34.94;54.87;34.10;23.70;34.94;-;100.00;34.94;34.94
Jan 2, 2022 4:00 AM;Jan 2, 2022 5:00 AM;29.56;36.99;29.56;29.56;29.56;29.56;29.56;104.06;29.56;50.50;29.56;15.84;29.56;-;140.60;29.56;29.56
Jan 2, 2022 5:00 AM;Jan 2, 2022 6:00 AM;33.97;41.14;33.97;33.97;33.97;33.97;33.97;105.86;33.97;50.89;33.97;23.98;33.97;-;141.93;33.97;33.97
Jan 2, 2022 6:00 AM;Jan 2, 2022 7:00 AM;34.52;43.65;34.52;34.52;34.52;34.52;34.52;111.97;34.52;56.15;34.52;35.88;34.52;-;147.09;34.52;34.52
Jan 2, 2022 7:00 AM;Jan 2, 2022 8:00 AM;41.80;49.96;41.80;41.80;41.80;41.80;41.80;105.22;41.80;60.91;41.80;49.00;41.80;-;152.61;41.80;41.80
Jan 2, 2022 8:00 AM;Jan 2, 2022 9:00 AM;48.95;58.52;48.95;48.95;48.95;48.95;48.95;111.53;48.95;65.54;48.95;75.05;48.95;-;152.59;48.95;48.95
