feature,importance
price_lag_1h,758.0
hour_sin,506.79999999999995
residual_load,330.6
hour,273.0
solar_mwh,252.60000000000002
price_delta_24h,246.60000000000002
hour_cos,205.60000000000002
price_roll_std_24h,191.8
renewable_ratio,175.8
biomass_mwh,164.60000000000002
load_mwh,149.0
temperature_c,147.8
ttf_eur_mwh_lag24h,144.20000000000002
hydro_mwh,143.8
ttf_eur_mwh,135.6
price_lag_24h,130.2
price_lag_168h,130.2
solar_mwh_lag24h,114.6
hard_coal_mwh,112.19999999999999
price_roll_mean_24h,112.0
gas_gen_mwh,109.4
ttf_roll_mean_7d,106.4
lignite_mwh,105.0
price_lag_48h,102.79999999999998
gas_share_thermal,101.4
wind_total_mwh,96.4
wind_onshore_mwh,94.6
price_roll_std_168h,92.60000000000001
load_mwh_lag24h,91.6
wind_speed_ms,90.8
temperature_c_lag24h,84.0
wind_offshore_mwh,83.8
weekday,74.0
gas_gen_mwh_lag24h,72.8
price_roll_mean_168h,67.4
lignite_mwh_lag24h,65.80000000000001
wind_total_mwh_lag24h,65.0
price_outlier_flag,65.0
wind_speed_ms_lag24h,64.4
residual_load_lag24h,63.0
week_of_year,60.6
gas_share_thermal_lag24h,52.8
renewable_penetration_lag24h,38.2
renewable_ratio_lag24h,35.4
is_evening_peak,35.0
month_sin,24.400000000000002
month_cos,17.8
weekday_sin,16.6
residual_load_lag24h_squared,15.8
weekday_cos,15.4
month,13.599999999999998
is_peak,8.799999999999999
is_weekend_solar_peak,4.0
is_solar_crater,2.2
is_holiday,0.2
is_weekend,0.0
is_sunday,0.0
